   34.50       2.467      0.2135      0.4466E-01 -0.5982E-02 -0.4803E-01
   35.00       2.431      0.2148      0.4594E-01 -0.6849E-02 -0.4940E-01
   35.50       2.394      0.2161      0.4722E-01 -0.7754E-02 -0.5080E-01
   36.00       2.356      0.2173      0.4851E-01 -0.8698E-02 -0.5222E-01
   36.50       2.318      0.2185      0.4981E-01 -0.9682E-02 -0.5366E-01
   37.00       2.278      0.2196      0.5111E-01 -0.1071E-01 -0.5512E-01
   37.50       2.238      0.2207      0.5242E-01 -0.1177E-01 -0.5660E-01
   38.00       2.198      0.2217      0.5373E-01 -0.1288E-01 -0.5811E-01
   38.50       2.157      0.2227      0.5505E-01 -0.1404E-01 -0.5964E-01
   39.00       2.115      0.2237      0.5637E-01 -0.1523E-01 -0.6119E-01
   39.50       2.073      0.2245      0.5769E-01 -0.1648E-01 -0.6276E-01
   40.00       2.030      0.2254      0.5902E-01 -0.1777E-01 -0.6435E-01
   40.50       1.987      0.2262      0.6035E-01 -0.1911E-01 -0.6597E-01
   41.00       1.944      0.2269      0.6168E-01 -0.2049E-01 -0.6761E-01
   41.50       1.900      0.2276      0.6302E-01 -0.2193E-01 -0.6927E-01
   42.00       1.856      0.2282      0.6435E-01 -0.2342E-01 -0.7096E-01
   42.50       1.812      0.2288      0.6569E-01 -0.2496E-01 -0.7267E-01
   43.00       1.768      0.2294      0.6703E-01 -0.2656E-01 -0.7441E-01
   43.50       1.724      0.2299      0.6836E-01 -0.2821E-01 -0.7617E-01
   44.00       1.680      0.2303      0.6970E-01 -0.2992E-01 -0.7795E-01
   44.50       1.635      0.2307      0.7104E-01 -0.3168E-01 -0.7976E-01
   45.00       1.591      0.2310      0.7237E-01 -0.3351E-01 -0.8160E-01
   45.50       1.547      0.2313      0.7371E-01 -0.3539E-01 -0.8346E-01
   46.00       1.503      0.2315      0.7504E-01 -0.3734E-01 -0.8534E-01
   46.50       1.459      0.2317      0.7637E-01 -0.3935E-01 -0.8726E-01
   47.00       1.416      0.2318      0.7769E-01 -0.4142E-01 -0.8920E-01
   47.50       1.373      0.2319      0.7901E-01 -0.4357E-01 -0.9116E-01
   48.00       1.330      0.2319      0.8032E-01 -0.4577E-01 -0.9316E-01
   48.50       1.287      0.2318      0.8163E-01 -0.4805E-01 -0.9518E-01
   49.00       1.245      0.2317      0.8293E-01 -0.5040E-01 -0.9724E-01
   49.50       1.204      0.2315      0.8423E-01 -0.5282E-01 -0.9932E-01
   50.00       1.162      0.2312      0.8551E-01 -0.5532E-01 -0.1014    
   50.50       1.122      0.2309      0.8679E-01 -0.5789E-01 -0.1036    
   51.00       1.082      0.2305      0.8805E-01 -0.6054E-01 -0.1058    
   51.50       1.043      0.2300      0.8931E-01 -0.6327E-01 -0.1080    
   52.00       1.004      0.2295      0.9055E-01 -0.6608E-01 -0.1102    
   52.50      0.9658      0.2288      0.9177E-01 -0.6898E-01 -0.1125    
