   32.50       6.628      0.1783E-01 -0.4176E-01  0.3712E-01 -0.2686E-01
   33.00       6.379      0.1803E-01 -0.4310E-01  0.3755E-01 -0.2591E-01
   33.50       6.149      0.1817E-01 -0.4435E-01  0.3792E-01 -0.2492E-01
   34.00       5.935      0.1824E-01 -0.4551E-01  0.3823E-01 -0.2388E-01
   34.50       5.738      0.1825E-01 -0.4655E-01  0.3848E-01 -0.2281E-01
   35.00       5.554      0.1819E-01 -0.4748E-01  0.3867E-01 -0.2173E-01
   35.50       5.383      0.1805E-01 -0.4828E-01  0.3878E-01 -0.2063E-01
   36.00       5.225      0.1786E-01 -0.4894E-01  0.3883E-01 -0.1955E-01
   36.50       5.078      0.1759E-01 -0.4946E-01  0.3880E-01 -0.1848E-01
   37.00       4.940      0.1727E-01 -0.4983E-01  0.3871E-01 -0.1743E-01
   37.50       4.812      0.1688E-01 -0.5005E-01  0.3854E-01 -0.1643E-01
   38.00       4.692      0.1644E-01 -0.5012E-01  0.3830E-01 -0.1547E-01
   38.50       4.579      0.1594E-01 -0.5005E-01  0.3799E-01 -0.1457E-01
   39.00       4.473      0.1539E-01 -0.4982E-01  0.3761E-01 -0.1373E-01
   39.50       4.373      0.1479E-01 -0.4945E-01  0.3717E-01 -0.1295E-01
   40.00       4.278      0.1415E-01 -0.4894E-01  0.3666E-01 -0.1225E-01
   40.50       4.188      0.1347E-01 -0.4830E-01  0.3609E-01 -0.1163E-01
   41.00       4.102      0.1276E-01 -0.4752E-01  0.3547E-01 -0.1109E-01
   41.50       4.019      0.1201E-01 -0.4662E-01  0.3478E-01 -0.1063E-01
   42.00       3.940      0.1124E-01 -0.4561E-01  0.3404E-01 -0.1025E-01
   42.50       3.863      0.1044E-01 -0.4449E-01  0.3325E-01 -0.9952E-02
   43.00       3.789      0.9628E-02 -0.4327E-01  0.3242E-01 -0.9739E-02
   43.50       3.716      0.8795E-02 -0.4196E-01  0.3153E-01 -0.9606E-02
   44.00       3.646      0.7948E-02 -0.4056E-01  0.3060E-01 -0.9553E-02
   44.50       3.576      0.7091E-02 -0.3908E-01  0.2963E-01 -0.9577E-02
   45.00       3.508      0.6226E-02 -0.3753E-01  0.2862E-01 -0.9677E-02
   45.50       3.442      0.5355E-02 -0.3592E-01  0.2757E-01 -0.9848E-02
   46.00       3.375      0.4482E-02 -0.3426E-01  0.2649E-01 -0.1009E-01
   46.50       3.310      0.3609E-02 -0.3254E-01  0.2537E-01 -0.1039E-01
   47.00       3.245      0.2738E-02 -0.3078E-01  0.2422E-01 -0.1076E-01
   47.50       3.181      0.1871E-02 -0.2899E-01  0.2303E-01 -0.1119E-01
   48.00       3.118      0.1010E-02 -0.2716E-01  0.2182E-01 -0.1167E-01
   48.50       3.054      0.1574E-03 -0.2531E-01  0.2058E-01 -0.1221E-01
   49.00       2.991     -0.6849E-03 -0.2344E-01  0.1931E-01 -0.1279E-01
   49.50       2.929     -0.1515E-02 -0.2156E-01  0.1802E-01 -0.1342E-01
